seller_region,country_code,brand,asin,reporting_date,top_bsr_position,bot_bsr_position,sales,performance,units,discounts,cogs,refunds,sde1,sessions_mobile,sessions_browser,sessions,pageviews_mobile,pageviews_browser,pageviews,topbsr_sales,botbsr_sales,units_sales,refunds_sales,sessionsmobile_sales,pageviews_sales,topbsr_sde1,botbsr_sde1,units_sde1,refunds_sde1,sessionsmobile_sde1,pageviews_sde1,topbsr_units,botbsr_units,units_units,refunds_units,sessionsmobile_units,pageviews_units
eu,uk,incite-nutrition,B00RXIIW7K,2023-06-11,3.0,26.0,2068.87,0.607810318,236,-48.47,-302.08,-35.45,685.68000000000006,218,172,390,337,259,596,0.0014500669447572831,0.012567246854563119,0.114071933,-0.017134958,0.105371531,0.288079966,0.0043752187609380462,0.0379185625947964,0.34418387586045968,-0.051700501691751256,0.31793256329483138,0.86921012717302526,0.012711864406779662,0.11016949152542373,1.0,-0.150211864,0.923728814,2.525423729
eu,uk,incite-nutrition,B00RXIIW7K,2023-12-03,2.0,24.0,4022.39,1.187250687,458,-35.3,-581.66,-43.56,923.66999999999985,554,410,964,873,538,1411,0.00049721682880078763,0.0059666019456094512,0.113862654,-0.010829383,0.137729062,0.350786473,0.0021652754771725835,0.025983305726071004,0.49584808427252164,-0.047159699892818874,0.59978130717680567,1.5276018491452577,0.0043668122270742356,0.052401746724890827,1.0,-0.09510917,1.209606987,3.080786026
eu,uk,incite-nutrition,B00RXIIW7K,2023-09-08,5.0,19.0,2258.6,0.686258052,259,-56.13,-328.93,-7.54,755.71999999999991,262,199,461,411,273,684,0.0022137607367395734,0.008412290799610379,0.114672806,-0.003338351,0.116001063,0.302842469,0.0066162070608161757,0.025141586831101469,0.34271952575027792,-0.0099772402477107929,0.34668924998676764,0.90509712591965286,0.019305019305019305,0.073359073359073365,1.0,-0.029111969,1.011583012,2.640926641
eu,uk,incite-nutrition,B00RXIIW7K,2023-11-07,2.0,14.0,5178.52,1.563260544,701,-89.09,-890.27,-49.53,1198.2399999999998,1006,611,1617,1607,807,2414,0.00038621073202382145,0.00270347512416675,0.135366862,-0.009564509,0.194263998,0.466156354,0.0016691147015622917,0.011683802910936042,0.58502470289758324,-0.041335625584190155,0.83956469488583274,2.0146214447856861,0.0028530670470756064,0.019971469329529243,1.0,-0.070656205,1.435092725,3.443651926
eu,uk,incite-nutrition,B00RXIIW7K,2023-08-16,3.0,12.0,2895.91,0.876241253,389,-49.71,-490.14,-6.86,741.46,525,297,822,790,401,1191,0.0010359437965958888,0.004143775186383555,0.134327379,-0.002368858,0.181290164,0.411269687,0.0040460712648018775,0.01618428505920751,0.52464057400264341,-0.0092520162921802922,0.70806247134032851,1.6062902921263453,0.0077120822622107968,0.030848329048843187,1.0,-0.017634961,1.349614396,3.061696658
eu,uk,incite-nutrition,B00RXIIW7K,2023-08-31,7.0,29.0,2196.25,0.658440841,251,-23.19,-316.26,-21.51,981.1099999999999,176,163,339,255,211,466,0.0031872509960159364,0.013204325554923164,0.114285714,-0.009793967,0.080136596,0.212179852,0.00713477591707352,0.029558357370733153,0.2558326793122076,-0.021924147139464487,0.17938865162927706,0.4749722253366086,0.027888446215139442,0.11553784860557768,1.0,-0.085697211,0.701195219,1.856573705
eu,uk,incite-nutrition,B00RXIIW7K,2023-06-07,3.0,18.0,2177.06,0.656688971,250,-64.97,-320,-41.77,645.17,264,213,477,431,291,722,0.0013780051996729534,0.00826803119803772,0.114833767,-0.019186426,0.121264458,0.331639918,0.0046499372258474517,0.027899623355084707,0.38749476882062095,-0.064742625974549356,0.40919447587457569,1.1190848923539534,0.012,0.072,1.0,-0.16708,1.056,2.888
eu,uk,incite-nutrition,B00RXIIW7K,2023-11-26,4.0,56.0,5298.48,1.581918417,719,-77.59,-913.13,-20.65,1251.95,947,507,1454,1487,696,2183,0.00075493349035949937,0.010569068865032992,0.135699295,-0.003897344,0.178730504,0.412004952,0.0031950157753903911,0.04473022085546547,0.57430408562642277,-0.016494268940452892,0.756419984823675,1.7436798594193059,0.0055632823365785811,0.077885952712100137,1.0,-0.028720445,1.317107093,3.036161335
eu,uk,incite-nutrition,B00RXIIW7K,2023-06-13,3.0,20.0,1942.71,0.588315901,261,-27.83,-334.09,-12.48,505.65000000000003,241,202,443,358,278,636,0.0015442346001204503,0.010294897334136336,0.13434841,-0.006424016,0.124053513,0.327377735,0.0059329575793533075,0.039553050529022048,0.51616730940373767,-0.024681103530109758,0.4766142588747157,1.2577870068229011,0.011494252873563218,0.07662835249042145,1.0,-0.047816092,0.923371648,2.436781609
eu,uk,incite-nutrition,B00RXIIW7K,2023-08-14,4.0,25.0,2661.57,0.808581557,360,-30.33,-453.6,,728.56999999999982,392,281,673,584,396,980,0.0015028723648072377,0.0093929522800452366,0.135258513,,0.147281492,0.368203729,0.005490206843542832,0.0343137927721427,0.49411861591885486,,0.53804027066719751,1.3451006766679938,0.011111111111111112,0.069444444444444448,1.0,,1.088888889,2.722222222
